order,station,lat,lon,leg_km,cumulative_km
1,1,51.51070779514405,-0.13355086172769645,5.899070326778843,0.0
2,10,51.52551536175225,-0.06162745593634396,8.520662033912497,5.899070326778843
3,2,51.53350324373026,0.03757630352358049,10.140862216316869,14.41973236069134
4,8,51.5653796576329,0.15262496469453438,12.92497222659762,24.56059457700821
5,19,51.57838718511676,-0.003136554483986175,11.148501374807188,37.485566803605835
6,18,51.64343043359766,-0.05742158379064612,7.021102975942176,48.634068178413024
7,5,51.59715993865004,-0.10577170739597727,5.783630625305517,55.655171154355195
8,17,51.55392439289895,-0.11814173095394165,8.552997417113025,61.43880177966071
9,6,51.518306845420014,-0.2067517146876104,7.0281342431241605,69.99179919677373
10,3,51.51105668872736,-0.2939893285409666,8.945444556738998,77.0199334398979
11,12,51.5835346623153,-0.2907765619469385,13.171906111501679,85.96537799663689
12,13,51.52067930922363,-0.4100391753598354,9.00895603585926,99.13728410813857
13,9,51.45987956965605,-0.3789476384134231,14.950181272669044,108.14624014399783
14,14,51.39435556310797,-0.2534990533870559,9.063321758352073,123.09642141666687
15,11,51.44545789698391,-0.16552199879088594,7.022493506106273,132.15974317501892
16,15,51.48103250400341,-0.09360387054731713,12.026011868667759,139.1822366811252
17,4,51.38103106088002,-0.09945682704882759,12.447085145625085,151.20824854979298
18,20,51.40672159807785,0.046527385986961406,8.725434575794752,163.65533369541805
19,7,51.461685430132306,-0.009746996061632414,10.012654086496163,172.38076827121282
20,16,51.487006212569334,0.10761151519519759,19.574192550203215,182.39342235770897
