method,id,lat,lon
p-median,1,51.62469105972392,-0.05921400383575127
p-median,2,51.53350324373026,0.03757630352358049
p-median,3,51.51059245368927,-0.33598663253940486
p-median,4,51.39938764919432,-0.09756401837816672
p-median,5,51.53773345401768,-0.3360729231168588
p-median,6,51.52691908494411,-0.20522377624237254
p-median,7,51.460377719787964,0.04917454099456623
p-median,8,51.557977369750205,0.14129510387244468
p-median,9,51.51544379993429,-0.02017393163348634
p-median,10,51.52551536175225,-0.06162745593634396
p-median,11,51.590385712570296,-0.14469326232541393
p-median,12,51.59322835360016,-0.2899679503352887
p-median,13,51.52067930922363,-0.4100391753598354
p-median,14,51.39487269156002,-0.24106625018544786
p-median,15,51.472142874819596,-0.06682075723877999
p-median,16,51.48645682489413,0.09392996651355016
p-median,17,51.54436726248273,-0.10435347695549231
p-median,18,51.649486430264574,-0.04446364776859002
p-median,19,51.57834448133272,-0.016612106042102483
p-median,20,51.406200410365805,0.01608189243073911
p-median,21,51.49238286552905,-0.22443075611183025
p-median,22,51.60844751739446,-0.1753809237064395
p-median,23,51.55904869519432,0.06994798409360897
p-median,24,51.364920172312,-0.09818532977304643
p-median,25,51.57370626526412,-0.40896328801887843
p-median,26,51.52598867304225,-0.13502674013252372
p-median,27,51.44508388233298,-0.02170106341657784
p-median,28,51.463280357063375,-0.11190029931065174
p-median,29,51.463102741305875,-0.13596408966661677
p-median,30,51.44825048259581,-0.32795756705550705
p-median,31,51.51584637102523,-0.0493679648470319
p-median,32,51.56153278910355,-0.05967398890562127
p-median,33,51.55588415108692,-0.2502272532482501
p-median,34,51.409105054257196,-0.16742710941784983
p-median,35,51.46736873412776,0.18083147721019963
p-median,36,51.4988619595326,-0.0938939584309207
p-median,37,51.54548154921832,-0.1925448218480022
p-median,38,51.54267574148466,-0.0038906150561173886
p-median,39,51.491509547406366,-0.295929763516151
p-median,40,51.50306009004226,-0.3815036051907732
p-median,41,51.592717128219576,-0.2477671256433529
p-median,42,51.367067137228744,0.05855976892996741
p-median,43,51.36569795464899,-0.19564250950734624
p-median,44,51.492187319905604,-0.1935935987855055
p-median,45,51.343950791674864,-0.014641918375060826
p-median,46,51.53430567730272,-0.1208579410324626
p-median,47,51.38788057320147,0.10539542800599869
p-median,48,51.48929432890808,0.06706086084784176
p-median,49,51.479094880813406,-0.02266260374249117
p-median,50,51.409254871974824,-0.05419682386847788
p-median,51,51.45608551569716,-0.19492566957738686
p-median,52,51.64582752577324,-0.18755415541979528
p-median,53,51.59334202684071,0.08325842002998582
p-median,54,51.54001011468961,0.08076668529471434
p-median,55,51.61430489364089,-0.07267707526596409
p-median,56,51.49139341413226,-0.14950331527538382
p-median,57,51.54732620591261,-0.479576309393811
p-median,58,51.540331926087504,0.1519613079569587
p-median,59,51.601279525254206,-0.33539524839307333
p-median,60,51.436503522850465,-0.12570718996154687
p-median,61,51.51821180751733,-0.19249361612023505
p-median,62,51.526292744685854,-0.0909696789176266
p-median,63,51.58019349704942,-0.07528519630356253
p-median,64,51.54708265079291,-0.29546004651913177
p-median,65,51.473884762095054,-0.3252215007777004
p-median,66,51.513251450529395,-0.46928029460313264
p-median,67,51.66901960451224,-0.04146306289865644
p-median,68,51.54412890249717,-0.14747631874889638
p-median,69,51.3801960873641,-0.025917066574596272
p-median,70,51.38103106088002,-0.09945682704882759
p-median,71,51.6152071335907,-0.017184003871883978
p-median,72,51.58213999370562,-0.2195229698942205
p-median,73,51.57604023163747,0.11108777677709793
p-median,74,51.33008240697189,-0.11289563735324702
p-median,75,51.56450593494086,-0.13480753808254273
p-median,76,51.52513686488159,-0.01928549464100939
p-median,77,51.601799937998386,-0.40748321442988134
p-median,78,51.50945191305621,-0.2670855999942321
p-median,79,51.497674400717,-0.06456406023155586
p-median,80,51.60640606875228,-0.11547990689538899
p-median,81,51.531127251869066,-0.3790034328175644
p-median,82,51.51582195870886,-0.13470619770347758
p-median,83,51.61021069134653,-0.27639943770168884
p-median,84,51.42516754999208,0.10443048883894857
p-median,85,51.515591289034184,0.01000775426556816
p-median,86,51.562843620619645,0.22446578238516765
p-median,87,51.47484946209772,-0.39546611257755226
p-median,88,51.48103250400341,-0.09360387054731713
p-median,89,51.509228906918906,-0.22145591250046415
p-median,90,51.58737449193594,-0.03051048466791896
p-median,91,51.461685430132306,-0.009746996061632414
p-median,92,51.43156630167188,-0.3719130110353853
p-median,93,51.53765233508375,-0.24891246205737208
p-median,94,51.60159506423786,0.21529353035101356
p-median,95,51.48798716943489,0.021864409666543287
p-median,96,51.376316479596234,-0.2993283436103523
p-median,97,51.56339612899256,-0.10562231490243842
p-median,98,51.512871734555446,-0.30569214048682103
p-median,99,51.57609559649478,0.1828603250292519
p-median,100,51.65207693495597,-0.08316819725276497
p-median,101,51.50377230756469,-0.4213515502883805
p-median,102,51.516652437264476,-0.07665944967455691
p-median,103,51.54949473694457,0.024776369389508942
p-median,104,51.48210259717015,-0.19551883867788003
