method,weighted_mean_km,max_km,median_km,coverage_1km_pct,coverage_2km_pct,coverage_3km_pct,coverage_5km_pct
Mevcut karakollar,1.3107488865453139,15.21850299835205,1.7699620723724365,44.579583417954474,80.83628343125754,93.85089637243254,99.63203879324905
p-Median (önerilen),0.9363719184150828,19.023653030395508,1.408679485321045,61.090380380184186,95.6755435804771,99.3833881789517,99.82065878963762
MCLP (önerilen),1.6315693314694761,4.900806903839111,1.698479413986206,19.366932408318295,66.79276780140312,99.99841530845396,100.0
