method,id,lat,lon
mclp,57,41.89629359680839,-87.74401967147449
mclp,58,41.90458642510091,-87.74245797164505
mclp,59,41.91244891244732,-87.7428233379845
mclp,60,41.92330640430019,-87.74269217017168
mclp,61,41.93201596159951,-87.74201671292927
mclp,62,41.94054781595095,-87.7435896506617
mclp,63,41.95147851755121,-87.74384796189442
mclp,64,41.95915868793489,-87.74443540504664
mclp,65,41.96792949468053,-87.74164885510879
mclp,66,41.97501262384684,-87.74396244395838
mclp,67,41.9872533388222,-87.74447606259923
mclp,68,41.993237077140066,-87.74388555928658
mclp,69,41.691135458999995,-87.730346692
mclp,70,41.736642892797676,-87.72787119976134
mclp,71,41.7437028334548,-87.72653320119328
mclp,72,41.752383328811725,-87.72775584136129
mclp,73,41.76221228536212,-87.72417407945548
mclp,74,41.77051125263733,-87.7263719047873
mclp,75,41.77927391401375,-87.72748678996021
mclp,76,41.78803424363028,-87.72758036313304
mclp,77,41.79732097744531,-87.72658998527847
mclp,78,41.806097477880314,-87.72707382543535
mclp,79,41.813893171253426,-87.72487805378012
mclp,80,41.82383612529586,-87.72610063944713
mclp,81,41.83530052648247,-87.72809100294732
mclp,82,41.84234255075992,-87.72783839788745
mclp,83,41.85181178381643,-87.72805660459089
mclp,84,41.86010533043172,-87.72830586367843
mclp,85,41.868845675379724,-87.72776660638026
mclp,86,41.8785730870809,-87.72824199186613
mclp,87,41.88537554850815,-87.72926154485162
mclp,88,41.89710022078944,-87.7280038661842
mclp,89,41.90439283278756,-87.72895711708699
mclp,90,41.6975518107927,-87.71635573400486
mclp,91,41.77909291210723,-87.70287333259937
mclp,92,41.844453136482954,-87.69453162050708
mclp,93,41.87888113156872,-87.68192570435048
mclp,94,41.931902456210075,-87.68190211540113
mclp,95,41.977012489624386,-87.68149163543721
mclp,96,42.00477760288616,-87.68097828194685
mclp,97,41.698549296492956,-87.66687960009905
mclp,98,41.734470875454086,-87.66562138777627
mclp,99,41.7792385264215,-87.65656640970265
mclp,100,41.814099081903905,-87.6586604730609
mclp,101,41.949106661767274,-87.65618346086667
mclp,102,41.68084622369628,-87.63047101482857
mclp,103,41.85957980765335,-87.62877851135279
mclp,104,41.904988175386045,-87.632705517233
mclp,105,41.80732818261286,-87.61975122733682
mclp,106,41.71430135887323,-87.60444738181778
mclp,107,41.75163525131613,-87.60630796780546
mclp,108,41.659316701846016,-87.59615144360606
mclp,109,41.778952756652814,-87.57390494109569
mclp,110,41.64918661025968,-87.55931015503582
mclp,111,41.69104858588139,-87.54131441419746
mclp,112,41.735008510377234,-87.5481588256353
