order,station,lat,lon,leg_km,cumulative_km
1,1,41.85167853971622,-87.64529695442855,7.709648127442393,0.0
2,5,41.80614474361432,-87.6805363804411,4.727304804982982,7.709648127442393
3,6,41.77078071220113,-87.69030183956308,5.985232615242612,12.436952932425374
4,17,41.78827346995447,-87.73976993324176,10.88236488423481,18.422185547667986
5,14,41.75234146594007,-87.65496993528235,5.158591744721337,29.304550431902797
6,2,41.744731435963764,-87.60479244499956,7.953766099587386,34.46314217662413
7,8,41.68972059714646,-87.63101017317207,9.343694641546263,42.41690827621152
8,13,41.726763954644966,-87.55812635769209,4.736793632041245,51.76060291775779
9,9,41.76335702147038,-87.57294054859831,5.03323449481741,56.49739654979903
10,19,41.779657291780104,-87.61726138014158,4.7578546120112115,61.53063104461644
11,10,41.8150492145808,-87.60706999352158,12.652217393491918,66.28848565662766
12,16,41.86068062697527,-87.70713055291847,5.777092230437987,78.94070305011957
13,7,41.87894186632485,-87.75295433898975,4.133717396227998,84.71779528055757
14,15,41.91219722904417,-87.75338526688478,5.5219500006949405,88.85151267678556
15,3,41.90487830135501,-87.69328782296341,7.105138838521123,94.37346267748049
16,4,41.96038265951257,-87.71709891095824,5.7394262889425,101.4786015160016
17,11,41.958388818789146,-87.78676454883818,11.385852218623166,107.21802780494411
18,12,41.949106661767274,-87.65618346086667,5.5579470659317725,118.60388002356729
19,18,41.99650100289495,-87.6701843516747,13.22937203659674,124.16182708949906
20,20,41.887426188480205,-87.6305146568518,4.995051508240442,137.3911991260958
