weighted_mean_km,max_km,median_km,coverage_1km_pct,coverage_2km_pct,coverage_3km_pct,coverage_5km_pct,p
3.7574371508186983,19.985177993774414,4.518174648284912,4.8941047410774265,19.571326987121765,39.78227777539556,78.15657919185855,5
2.575547855063545,15.282041549682617,3.109492301940918,8.813408515929849,35.03494704343724,67.50720023440962,96.55809141975044,10
2.093480377074545,14.743759155273438,2.5992794036865234,17.849524034132326,53.00149721995912,82.4658212197876,97.82393908208624,15
1.7973822036670948,12.795058250427246,2.2429027557373047,22.296785443734546,62.829638523219415,91.85846447407916,98.85403713391364,20
1.5916837680057478,8.99594783782959,1.9329499006271362,26.9540685791061,74.56244729356946,94.10491974329288,99.0125137572717,25
1.4534286356721926,7.488043308258057,1.8114734888076782,30.19113674370739,80.79940468533367,96.61874848134013,99.6856374083444,30
1.233416195437714,6.770885944366455,1.568384051322937,41.187752812200735,88.84490730814859,98.01609422123123,99.73593184969198,40
1.093863834708335,5.4792985916137695,1.3867683410644531,47.902730729099666,93.73910138215913,99.36225219044351,99.951581550248,50
0.9987223074235537,5.310582160949707,1.281138300895691,54.54472363963809,95.79152552063233,99.67929477009277,99.9995533353344,60
0.8426861342537671,4.11752986907959,1.0789377689361572,67.49308563097637,98.61480353901348,99.92299501164902,100.0,80
0.7516760908092065,4.11752986907959,0.9706519842147827,76.40690436373512,98.97008061403885,99.90655775195461,100.0,100
0.7057648421810897,4.11752986907959,0.8972207903862,80.55668710604176,99.36528951016966,99.92630033017453,100.0,112
0.6800472218983852,4.11752986907959,0.8598431348800659,82.7850971227649,99.56905793062047,99.94166559467146,100.0,120
