method,id,lat,lon
p-median,1,51.51070779514405,-0.13355086172769645
p-median,2,51.541088006451645,0.0373093312328295
p-median,3,51.51084124651066,-0.32266701439565126
p-median,4,51.39938764919432,-0.09756401837816672
p-median,5,51.59715993865004,-0.10577170739597727
p-median,6,51.531127251869066,-0.3790034328175644
p-median,7,51.444694378212475,0.03700060262570058
p-median,8,51.549196188821355,0.14148175641518956
p-median,9,51.46791613079437,-0.3658431819937046
p-median,10,51.516922809234096,-0.06280482234452481
p-median,11,51.46375665474468,-0.16708982811291273
p-median,12,51.48798716943489,0.021864409666543287
p-median,13,51.51206268796806,-0.4217773189022178
p-median,14,51.40279433806127,-0.22943938800872565
p-median,15,51.472610136795666,-0.07925755454548868
p-median,16,51.487006212569334,0.10761151519519759
p-median,17,51.56339612899256,-0.10562231490243842
p-median,18,51.65207693495597,-0.08316819725276497
p-median,19,51.57834448133272,-0.016612106042102483
p-median,20,51.50237811282657,-0.2219904684646723
p-median,21,51.483300271014116,-0.2071081322659395
p-median,22,51.60844751739446,-0.1753809237064395
p-median,23,51.55904869519432,0.06994798409360897
p-median,24,51.61021069134653,-0.27639943770168884
p-median,25,51.506799930441694,-0.019791762338083486
p-median,26,51.56600839916526,-0.3628983074120672
p-median,27,51.45206545193213,-0.01860693233454304
p-median,28,51.46376476255496,-0.12183850574481238
p-median,29,51.40279734034254,-0.2987740032795302
p-median,30,51.51812116265111,-0.16367350052181912
p-median,31,51.57609559649478,0.1828603250292519
p-median,32,51.551413691914235,-0.06011749134202118
p-median,33,51.54625627562167,-0.2496564359088258
p-median,34,51.41976458380963,-0.16666985272156382
p-median,35,51.468040090134295,0.16453827914601352
p-median,36,51.4988619595326,-0.0938939584309207
p-median,37,51.54548154921832,-0.1925448218480022
p-median,38,51.54267574148466,-0.0038906150561173886
p-median,39,51.60159506423786,0.21529353035101356
p-median,40,51.50306009004226,-0.3815036051907732
p-median,41,51.592717128219576,-0.2477671256433529
p-median,42,51.44849245607652,-0.4101943720064979
p-median,43,51.364736941333234,-0.18676127548440286
p-median,44,51.4925009577952,-0.17894162136812305
p-median,45,51.35311256718386,-0.01599204166293384
p-median,46,51.527156489881584,-0.1213795737474101
p-median,47,51.38788057320147,0.10539542800599869
p-median,48,51.48929432890808,0.06706086084784176
p-median,49,51.479433717878145,-0.03512984612312212
p-median,50,51.416078764720865,-0.053519038235884706
p-median,51,51.455692628702664,-0.2246390568715267
p-median,52,51.644949321702846,-0.17212443876044656
p-median,53,51.59479467626412,0.06946126864288563
p-median,54,51.54001011468961,0.08076668529471434
p-median,55,51.615051021773674,-0.06092373304240014
p-median,56,51.49103340651934,-0.1371934499023208
p-median,57,51.5394976729752,-0.46783444933139345
p-median,58,51.53001208139154,0.19192754292653932
p-median,59,51.5935229088777,-0.3342872791603357
p-median,60,51.436503522850465,-0.12570718996154687
p-median,61,51.518306845420014,-0.2067517146876104
p-median,62,51.526292744685854,-0.0909696789176266
p-median,63,51.587982841588335,-0.07354148512693261
p-median,64,51.55425611056584,-0.29211455754814225
p-median,65,51.45746928952759,-0.3252691260436958
p-median,66,51.49754332111318,-0.4678800793397368
p-median,67,51.6593502890038,-0.044287082733541525
p-median,68,51.54412890249717,-0.14747631874889638
p-median,69,51.406200410365805,0.01608189243073911
p-median,70,51.373319393996674,-0.09882729281669093
p-median,71,51.61431690016801,-0.0014010746198999111
p-median,72,51.57448622134162,-0.22070449551652863
p-median,73,51.57604023163747,0.11108777677709793
p-median,74,51.33848628805107,-0.11544212838930654
p-median,75,51.56450593494086,-0.13480753808254273
p-median,76,51.524435415894,-0.03344356629896294
p-median,77,51.59402293175309,-0.40831459352004074
p-median,78,51.5022386631599,-0.2667924332555167
p-median,79,51.432665451500974,0.10383499812198199
p-median,80,51.51497489745097,0.022852365509583212
mclp,1,51.507189846885076,-0.10650890071015477
mclp,2,51.510542869484944,-0.19281011165202602
mclp,3,51.53327695277117,-0.03154754804588755
mclp,4,51.55282250302845,-0.10642857356115665
mclp,5,51.540573328863175,0.052789977222448145
mclp,6,51.463102741305875,-0.13596408966661677
mclp,7,51.479433717878145,-0.03512984612312212
mclp,8,51.606623534983086,-0.08746356454296715
mclp,9,51.3905314760185,-0.09643807364394362
mclp,10,51.54607725231668,-0.2631025481071317
mclp,11,51.55879530766252,0.12595238703392533
mclp,12,51.51138129107512,-0.3793348557773323
mclp,13,51.57838718511676,-0.003136554483986175
mclp,14,51.42692597770444,-0.023420294625143015
mclp,15,51.49731953835579,0.034309894998985825
mclp,16,51.41976458380963,-0.16666985272156382
mclp,17,51.553618332440394,-0.19283106609633038
mclp,18,51.50300221789845,-0.27844495087288446
mclp,19,51.46425502673923,-0.21290942402222365
mclp,20,51.4599184890688,-0.39756422694018917
mclp,21,51.5992182623821,-0.2458233381755302
mclp,22,51.57718433757826,-0.3370465502757374
mclp,23,51.650584007741585,-0.057815376875558676
mclp,24,51.487006212569334,0.10761151519519759
mclp,25,51.364736941333234,-0.18676127548440286
mclp,26,51.58413381339683,0.20030273970924548
mclp,27,51.52314324155833,-0.463313202030917
mclp,28,51.40288054732462,-0.27109978508373117
mclp,29,51.451867799449644,0.03581408369293643
mclp,30,51.599513564102956,-0.15802222951395742
mclp,31,51.45423632626829,-0.0956158111297613
mclp,32,51.46730663485766,-0.3262978713442232
mclp,33,51.468040090134295,0.16453827914601352
mclp,34,51.59479467626412,0.06946126864288563
mclp,35,51.5293720946611,-0.35151425592675595
mclp,36,51.537244304722655,0.18504702090801503
mclp,37,51.389747521112284,0.003193538686026524
mclp,38,51.346109822504445,-0.12774329565798737
mclp,39,51.396017220588256,0.09293132239762827
mclp,40,51.64356572124525,-0.16056708996613162
mclp,41,51.480801411415854,-0.4416326228768514
mclp,42,51.6152071335907,-0.017184003871883978
mclp,43,51.571553951396844,-0.09217567929592209
mclp,44,51.57679593403163,-0.395426065988494
mclp,45,51.418270092343356,-0.09547678041560348
mclp,46,51.516146952727865,-0.14899468487105266
mclp,47,51.35128720098437,-0.041227358383606486
mclp,48,51.432665451500974,0.10383499812198199
mclp,49,51.61206486315303,-0.31844688757522516
mclp,50,51.42929966391471,-0.35330167143250335
mclp,51,51.51544379993429,-0.02017393163348634
mclp,52,51.492187319905604,-0.1935935987855055
mclp,53,51.39281653087343,-0.22324650650313474
mclp,54,51.51675899540601,0.10191301260804597
mclp,55,51.605497724235015,0.140461157012959
mclp,56,51.36212156847038,0.07309977905093543
mclp,57,51.36687463781152,-0.31119441313681523
mclp,58,51.546169237518484,-0.43996193304271775
mclp,59,51.579883284912974,0.23726221175514187
mclp,60,51.64515188346069,-0.24064436248899165
mclp,61,51.66803603528955,-0.015152374475719984
mclp,62,51.45349934962339,-0.24965102461309466
mclp,63,51.57176529376966,-0.17683154976422655
mclp,64,51.61068288263368,-0.40631447788676633
mclp,65,51.64437529830778,-0.11441910351557369
mclp,66,51.31217083718307,-0.10202197030592504
mclp,67,51.44940582492172,-0.47026076344012896
mclp,68,51.56409561587782,-0.304792638348627
mclp,69,51.381852563800614,-0.06985676773349102
mclp,70,51.56118828191995,0.04035669449638086
mclp,71,51.32761875877431,0.023403127605903254
mclp,72,51.62724540399924,0.22024633662008888
mclp,73,51.40672159807785,0.046527385986961406
mclp,74,51.59601599545848,-0.4706939875990114
mclp,75,51.52930843884422,-0.2657870880778827
mclp,76,51.46250462602563,-0.07880491968858715
mclp,77,51.421516508609784,-0.31352387231871964
mclp,78,51.493827995382404,-0.354320987604098
mclp,79,51.55204163830002,-0.4034890622811473
mclp,80,51.556950792537265,0.2521006168077536
