method,weighted_mean_km,max_km,median_km,coverage_1km_pct,coverage_2km_pct,coverage_3km_pct,coverage_5km_pct
Mevcut karakollar,1.3107488865453139,15.21850299835205,1.7699620723724365,44.579583417954474,80.83628343125754,93.85089637243254,99.63203879324905
p-Median (önerilen),1.3068903438908617,19.023653030395508,1.8965271711349487,39.17799547362051,84.27147767899403,97.28723743641946,99.64665548764087
MCLP (önerilen),1.7162802994529744,19.786874771118164,1.9519474506378174,17.117462758706107,62.52154450710463,99.4080968563473,99.88646519120763
