method,weighted_mean_km,max_km,median_km,coverage_1km_pct,coverage_2km_pct,coverage_3km_pct,coverage_5km_pct
Mevcut karakollar,1.5882039005014623,7.47568941116333,1.803436517715454,34.99437518374805,69.80196516258513,87.74512900631485,99.77713336038428
p-Median (önerilen),1.0509476546950292,8.761364936828613,1.3436311483383179,50.031343468531404,95.6196895295807,99.15615607589493,99.8548846001521
MCLP (önerilen),1.6306634696979228,2.9860496520996094,1.6938751935958862,20.254866134232657,66.98554798830816,100.0,100.0
