order,station,lat,lon,leg_km,cumulative_km
1,1,52.40348726806765,-1.9786948369065256,16.06853941812614,0.0
2,17,52.46780890019985,-2.127277947283345,6.077441583055177,16.06853941812614
3,14,52.51143452291971,-2.096106208264669,6.277269629622846,22.145981001181315
4,4,52.47586605528618,-2.0391837774691863,6.167934688661938,28.423250630804162
5,15,52.48567120346637,-1.9632274741961604,4.992300652792051,34.5911853194661
6,16,52.512694131047766,-1.9196791973282166,4.723468681455074,39.58348597225815
7,9,52.47720910348869,-1.9049364027402824,10.284790634656384,44.30695465371323
8,12,52.52983409636173,-2.009156075674744,7.086594277026747,54.59174528836961
9,2,52.56713125802723,-2.0677057755760475,6.1132017251368245,61.67833956539636
10,10,52.593435658842694,-2.128416984269938,10.812195111358895,67.79154129053319
11,7,52.59283900110323,-1.9926048126822191,6.695222006947626,78.60373640189209
12,20,52.6282533672078,-1.9326084897776183,13.420761452217617,85.29895840883972
13,6,52.5304615172066,-1.8454030686799752,5.774377765607137,98.71971986105734
14,18,52.485043129367,-1.8316289435084347,22.408901694780585,104.49409762666447
15,8,52.40447782762583,-1.5824176895679947,17.477919918402833,126.90299932144507
16,13,52.48455483278093,-1.7571933333999477,9.826237169886788,144.38091923984788
17,19,52.458214529339514,-1.875990586985963,5.935725896955239,154.2071564097347
18,11,52.41257002572994,-1.8746358634977194,5.856613671779953,160.14288230668993
19,3,52.44105975108273,-1.8185146207516598,11.18261282033848,165.99949597846987
20,5,52.44030796560645,-1.9501110590607496,5.246011518985345,177.18210879880837
