weighted_mean_km,max_km,median_km,coverage_1km_pct,coverage_2km_pct,coverage_3km_pct,coverage_5km_pct,p
4.229645728448213,20.197818756103516,5.017490386962891,3.007636629580945,16.146077571440024,33.00127074682496,70.65370569697912,5
2.8945288201480186,13.338578224182129,3.5392167568206787,10.12059946205861,30.508918310173993,57.066433574929114,90.91069784167418,10
2.3065324664003675,10.381779670715332,2.854055643081665,15.052214816956573,45.83617813780921,73.85189360714729,96.7569836406532,15
1.9878651195054524,10.248909950256348,2.457827091217041,19.804516375140015,56.13244680721823,84.91395124511321,98.30769567192864,20
1.7432832411660317,9.212972640991211,2.1973838806152344,24.737103620535073,65.59434748486888,90.51331611467336,99.53531485607516,25
1.597712564083683,8.761364936828613,2.0035324096679688,27.031615597870587,71.77860820421363,93.91475062504708,99.73400571957558,30
1.3551669517846443,8.761364936828613,1.7392148971557617,35.264378512473,83.70734919296643,97.02759440093885,99.79651042717018,40
1.2136300846546408,8.761364936828613,1.5331275463104248,41.14656351668857,90.10141677337215,98.33818873627509,99.83617570808298,50
1.1014846253170536,8.761364936828613,1.395535945892334,46.74058298851468,94.28012070879974,98.67033231365822,99.83617570808298,60
1.0509476546950292,8.761364936828613,1.3436311483383179,50.031343468531404,95.6196895295807,99.15615607589493,99.8548846001521,66
0.9465899047755864,6.229370594024658,1.2335785627365112,57.65983346656332,97.47994868418175,99.38953128151051,99.90214277557348,80
0.8337707600743801,6.229370594024658,1.1129399538040161,66.95748465020446,98.456759376921,99.65485738721819,99.99198190339894,100
0.7566322746236953,5.496584892272949,0.9973289966583252,74.60553394449047,98.97939349173528,99.75799926622267,99.99684135588443,120
